player_id,hero_name,Adam Warlock,Angela,Black Panther,Black Widow,Blade,Bruce Banner,Captain America,Cloak & Dagger,Daredevil,Doctor Strange,Emma Frost,Gambit,Groot,Hawkeye,Hela,Human Torch,Invisible Woman,Iron Fist,Iron Man,Jeff The Land Shark,Loki,Luna Snow,Magik,Magneto,Mantis,Mister Fantastic,Moon Knight,Namor,Peni Parker,Phoenix,Psylocke,Rocket Raccoon,Scarlet Witch,Spider-Man,Squirrel Girl,Star-Lord,Storm,The Punisher,The Thing,Thor,Ultron,Venom,Winter Soldier,Wolverine
''WANHEDA'',Winter Soldier,,,,,,,,,,,,0.5,0.0,,,,0.0,,,,,,,0.5,,,,,,0.0,,1.0,,,,1.0,,,,,,1.0,,
'Luck,Hela,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,
'Luck,Invisible Woman,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,
'Luck,Rocket Raccoon,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,
'Luck,Winter Soldier,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,
'Shoyo,Gambit,,0.5,,,,1.0,1.0,,1.0,0.5,0.7142857142857143,,0.6,0.0,0.0,,0.5454545454545454,1.0,,1.0,0.8571428571428571,,,0.6,1.0,,1.0,0.0,,0.8333333333333334,0.8,,,0.5,,0.5,,1.0,,,,0.6,1.0,0.75
'Shoyo,Invisible Woman,,0.5,1.0,,,,0.0,,0.3333333333333333,,1.0,0.0,0.5714285714285714,,0.6666666666666666,,,,,,0.0,0.0,0.0,0.3333333333333333,0.5,,,,0.0,0.5,1.0,0.6,,0.0,,0.0,,,,,,,0.0,
'Shoyo,Loki,,0.3333333333333333,,,0.0,,,,0.0,1.0,0.5,0.5,0.0,,0.0,,,,,,,0.0,,0.5714285714285714,0.6666666666666666,,0.5,,,0.4,0.5,0.5,,,,,,,,,,,,
'Shoyo,Magneto,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,
'Shoyo,Mantis,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,
'Shoyo,Rocket Raccoon,,,,,,,,,,1.0,0.0,0.0,,,,,1.0,,,1.0,,,,1.0,0.0,,,,,0.6666666666666666,,,,,,,,,,,,0.5,1.0,1.0
'Thorny,Thor,,,,,,,,,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
'TyR,Rocket Raccoon,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,0.0
'Yuna,Spider-Man,,1.0,,,,,,,,,0.5,0.5,,1.0,,,1.0,,,,0.0,,1.0,0.6666666666666666,1.0,,,,,,,1.0,,,,0.0,,,,,,,,
'sonuts,Venom,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
",SaZu,",Invisible Woman,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,
",SaZu,",Winter Soldier,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,
-167ncordial,Doctor Strange,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,
-22k,Invisible Woman,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,
-BubbleGum-,Invisible Woman,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,
-BubbleGum-,Jeff The Land Shark,,,,0.0,,,,,,,,1.0,,,,,0.0,1.0,,,,,,,,,0.0,,1.0,0.0,1.0,1.0,,,,,,,,0.0,,,,
-Cooley,Magneto,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,0.0,,,,
-Cooley,Moon Knight,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,,
-Cooley,Namor,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,
-Cooley,Rocket Raccoon,,,,,,,,,,,0.5,0.0,0.0,,,,1.0,,,,,,1.0,,,,,,1.0,0.0,0.5,,,,,,,,,,,,,
-Cooley,Venom,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,
-Cryptive-,Emma Frost,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,
-Cryptive-,Namor,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,
-Dalek-,Adam Warlock,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,
-Dalek-,Winter Soldier,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,
-Dear Moon-,Gambit,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,
-MlbbNeo<3-,Invisible Woman,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,0.0,,,,0.0,
-MlbbNeo<3-,Magik,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,
-MlbbNeo<3-,Magneto,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-Neil-,Rocket Raccoon,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
-White Fox-,Invisible Woman,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
-X-Magik-X-,Cloak & Dagger,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,1.0,,,,
-X-Magik-X-,Mantis,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,
-Ziro-,Winter Soldier,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,
-chrys-,Emma Frost,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,
-chrys-,Invisible Woman,,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
-kasey,Angela,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,0.0,
-kasey,Emma Frost,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,
-kasey,Gambit,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,
-kasey,Invisible Woman,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,
-kasey,Moon Knight,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,
-kasey,Namor,,1.0,,,,,,,,1.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
-kasey,Psylocke,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
-kasey,Rocket Raccoon,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,1.0,,,,,
-kez,Daredevil,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,
-kez,Hela,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,
-kez,Spider-Man,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,
-oo- <---MyPig,Angela,1.0,,,,,1.0,1.0,,,0.0,1.0,1.0,,0.0,0.0,,0.4,,,1.0,0.6666666666666666,0.0,0.0,0.5,0.0,1.0,,,,1.0,0.3333333333333333,0.6666666666666666,,1.0,,1.0,,,,,,,1.0,1.0
-oo- <---MyPig,Doctor Strange,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0
-oo- <---MyPig,Emma Frost,0.0,,,,,,,,,1.0,,0.6,0.0,,1.0,,0.5714285714285714,,,,0.3333333333333333,0.0,,0.5,0.0,,,1.0,,0.5,1.0,0.5,0.0,0.0,,0.25,,0.5,,1.0,,0.5,0.0,0.0
-oo- <---MyPig,Groot,,0.0,0.0,,,,,,,1.0,0.25,0.3333333333333333,,0.6666666666666666,0.5,,0.5,1.0,,,0.6666666666666666,1.0,,0.5,0.5,,,,,0.5,0.5,0.0,,0.0,,0.0,,1.0,,,,,0.0,
-oo- <---MyPig,Magneto,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,
-oo- <---MyPig,Wolverine,,0.0,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,0.0,
-surströmming-,Gambit,,,,,,,,,,,0.0,,0.5,0.0,,,0.0,,,,,,1.0,0.3333333333333333,1.0,,0.0,,,,0.0,0.5,,,,,,,,,,,,0.0
-surströmming-,Jeff The Land Shark,,0.5,,,,,0.0,,,,0.0,0.0,0.0,,0.0,,0.3333333333333333,,,,,,,1.0,0.0,,1.0,,,0.0,0.0,,,,,0.0,,,,,,,0.0,1.0
-surströmming-,Loki,,,,,,,,,,,1.0,0.5,,,0.0,,,,,,,,,0.5,0.5,,,0.0,,,1.0,,,,,,,,,,,,,
-surströmming-,Mantis,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0
-surströmming-,Rocket Raccoon,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,
-tenzer-,Angela,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
-yoshi,Phoenix,,,,,,0.5,,,0.0,,,0.3333333333333333,0.5,,,,,0.0,,,0.5,0.0,,0.0,1.0,,0.0,,,,,,,,,,,,,,,,,
-yoshi,Psylocke,,,,,,,,,,1.0,0.0,1.0,,,,,0.0,0.0,,,,,,0.0,,,,,,0.5,,0.3333333333333333,,,,,,,,,,,1.0,0.0
-yoshi,Star-Lord,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,
-yzziD-,Magneto,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,
-超人哲学-,Daredevil,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,1.0
...Gambit,Gambit,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,
...Gambit,Luna Snow,,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
...Rogue,Emma Frost,,0.0,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,
...Rogue,Invisible Woman,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,
...zero,Invisible Woman,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
...zero,Mantis,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
.Aisaka,Rocket Raccoon,,,,,,,,,,,1.0,,1.0,,,,0.5,0.0,,1.0,,,,0.0,,,,,,1.0,,,,,,0.0,,,,,,,0.0,
.Akiro.,Hawkeye,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
.Aokk,Invisible Woman,,,,,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,
.Aokk,Psylocke,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,
.Aokk,Star-Lord,,,,,,,0.0,,,,,0.0,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
.Averi.,Invisible Woman,,,,,0.0,1.0,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,1.0,,,,,,,,0.5,,,1.0,1.0
.Averi.,Rocket Raccoon,,0.0,,,,,,0.0,,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,,0.0,,,,0.0,,,0.0,,,,,,,0.0,,,,,0.0,
.Broken Sword.,Winter Soldier,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,
.Caraxes,Jeff The Land Shark,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,
.Caraxes,Rocket Raccoon,0.0,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
.DL Trade.,Angela,,,,,,,,,,,,0.6666666666666666,,,1.0,,0.5,,,,0.5,,,0.3333333333333333,0.5,,,,,0.5,0.0,0.0,,,,1.0,,,,1.0,,,0.0,
.DL Trade.,Captain America,,,,,,,,,,,,1.0,,,,,,,,0.0,1.0,,,0.5,1.0,,,,,0.5,0.0,0.0,,,,,,,,,,,,
.DL Trade.,Emma Frost,,,,,,,,,,,,0.6666666666666666,1.0,0.0,0.0,,0.6666666666666666,,,0.0,0.5,0.0,,0.5,1.0,,1.0,,0.0,0.5,0.4,0.5,,,,,,,,,,1.0,,
.DL Trade.,Groot,,1.0,,1.0,,0.0,,,,,1.0,1.0,,0.0,,,1.0,,,,1.0,,,1.0,1.0,,1.0,,,1.0,0.6666666666666666,0.5,,1.0,,1.0,,0.0,,,,,,
.DL Trade.,Luna Snow,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,
.DL Trade.,Rocket Raccoon,,,,,,,,,0.0,0.5,0.5,0.0,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,0.0,,,,,,,,,,
.DL Trade.,Venom,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,1.0,,1.0,,,,,1.0,,,,,,,
.ENVY_,Captain America,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0
.ENVY_,Doctor Strange,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,
.ENVY_,Emma Frost,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,
.ENVY_,Magneto,,0.0,,,,,,,,,,0.0,0.0,,1.0,,0.5,0.0,,,0.0,,,,,,,1.0,1.0,,,1.0,,0.0,,,,,,,,,0.0,
.ENVY_,The Thing,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
.ENVY_,Venom,,,,,,,,,,,0.0,0.5,,1.0,,,0.0,,,1.0,,,,,1.0,,,,,0.0,,,,,,0.0,,1.0,,,,,,
.Fennix,Emma Frost,,,,,,0.0,1.0,,,,,0.0,,0.0,0.0,,0.3333333333333333,,,,,1.0,,,,,,,0.0,,1.0,0.0,,,,,,,,,,,0.5,0.0
.Flo,Adam Warlock,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,
.Flo,Hela,,,,,,0.0,0.0,,,1.0,0.6666666666666666,0.25,0.5,0.0,,,0.2,,,0.5,,,1.0,0.16666666666666666,0.5,,0.0,0.0,0.0,,,0.42857142857142855,,1.0,,0.0,,0.0,,,,0.0,1.0,
.Flo,Phoenix,,1.0,,,,1.0,,1.0,,0.0,0.6666666666666666,0.6,1.0,,1.0,,0.7777777777777778,0.6666666666666666,,1.0,1.0,,,0.6363636363636364,1.0,,,,,,1.0,0.75,,,,1.0,,0.0,1.0,1.0,,,,0.6666666666666666
.Flo,Psylocke,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,
.Flo,Rocket Raccoon,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
.Flo,Star-Lord,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,
.GolDship.,Cloak & Dagger,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,1.0
.GolDship.,Gambit,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,
.GolDship.,Wolverine,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,
.ImNotARaccoon,Invisible Woman,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,
.Itami.,Jeff The Land Shark,1.0,0.5,0.5,,0.0,,1.0,1.0,,,0.6153846153846154,0.7647058823529411,0.6666666666666666,0.6666666666666666,1.0,,0.7142857142857143,0.6666666666666666,1.0,,1.0,0.5,1.0,0.75,0.0,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,0.25,,1.0,,0.6666666666666666,,0.0,,1.0,1.0,0.3333333333333333,0.5,0.0
.Jio.,Emma Frost,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
.Jio.,Winter Soldier,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,
.Job.,Star-Lord,,0.0,,,1.0,1.0,1.0,,,,1.0,0.6666666666666666,0.0,,0.0,,0.5,1.0,,,0.5,0.0,0.0,0.5,,,,1.0,0.0,0.0,,0.0,,,,,,,,1.0,,,0.0,
.Jompa,Psylocke,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0
.Koga,Emma Frost,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,,,
.Koga,Luna Snow,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,
.Koga,Magneto,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
.Koga,Phoenix,,,,,,,,,,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
.Koga,Star-Lord,,0.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,0.0,
.Lifehater,Moon Knight,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,0.0,,,,
.Maxy.,Hawkeye,,,,,,,,,,0.0,0.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Maxy.,Moon Knight,,,,,,,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
.Maxy.,Rocket Raccoon,,0.0,,,,,,,1.0,,0.0,,1.0,1.0,1.0,,0.6666666666666666,,,,,,,0.6666666666666666,,,,,,0.0,,,,,,,,,,,,1.0,1.0,
.Momo Ayase.,Invisible Woman,,,,,1.0,,1.0,,,,0.5714285714285714,0.5,0.0,0.0,0.3333333333333333,,,1.0,,1.0,,1.0,0.5,0.625,1.0,1.0,,,0.0,0.0,0.6666666666666666,0.3333333333333333,,0.0,,1.0,,,,,,,1.0,
.Momo Ayase.,Luna Snow,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0
.Momo Ayase.,Mantis,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
.Momo Ayase.,Rocket Raccoon,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,
.Mus,Gambit,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,
.Mus,Rocket Raccoon,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,
.Neyo.,Angela,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,
.Neyo.,Captain America,,,,,,1.0,,,0.5,0.0,0.0,0.0,,,,,0.3333333333333333,1.0,,,,,,,,,0.0,,,0.0,,1.0,,,,,,,,,,,0.0,
.Neyo.,Cloak & Dagger,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,
.Neyo.,Groot,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
.Neyo.,Magneto,,,,,,,,,,,0.0,0.3333333333333333,0.0,,0.5,,0.0,0.0,,,0.5,,,,0.5,,,1.0,,0.0,,0.0,,,,,,,,,,,0.0,0.0
.Neyo.,Thor,,,,,,,,,,,,1.0,,,,,,1.0,,0.0,,,,0.5,,,,,,0.5,,0.5,,,,,0.0,,,,,,,
.Pendrag0n.,Angela,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,
.Pendrag0n.,Captain America,,0.0,,,,,,,,,1.0,0.5,1.0,,,,0.6666666666666666,0.0,,0.0,,,,,1.0,,,,,0.5,1.0,0.5,,0.5,,0.0,,,,,,0.0,,
.Pendrag0n.,Emma Frost,,,,,,0.0,,0.0,,,,1.0,1.0,,,,0.5,,,,,0.0,,0.5,,,,,,0.0,0.3333333333333333,,,,,,,,,,,,0.0,
.Pendrag0n.,Groot,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,1.0,,1.0,,,,,,,1.0,1.0,,,,1.0,,,,,,1.0,,
.Pendrag0n.,Rocket Raccoon,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,1.0,,,,
.Pendrag0n.,Scarlet Witch,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,
.Pendrag0n.,Venom,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,
.Rot,Black Widow,,1.0,,,,,1.0,,,,0.0,0.5,,,,,,,,,,,,,0.0,,,,,0.0,1.0,0.5,,,,,,,,,,,,
.Rot,Hela,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
.Rot,Magneto,,,,,0.0,,,,0.0,,0.0,0.0,,,,,0.0,,,,,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,,,,,,,,,,0.0,,
